DC_ID	DCC_ID
DC000212	DCC0103
DC000213	DCC0051
DC000213	DCC0087
DC000213	DCC0214
DC000214	DCC0025
DC000214	DCC0468
DC000215	DCC0051
DC000215	DCC0287
DC000216	DCC0117
DC000216	DCC0215
DC000217	DCC0051
DC000217	DCC0075
DC000217	DCC0287
DC000218	DCC0117
DC000218	DCC0223
DC000219	DCC0026
DC000219	DCC0131
DC000220	DCC0264
DC000220	DCC0332
DC000221	DCC0030
DC000221	DCC0161
DC000221	DCC0179
DC000222	DCC0008
DC000222	DCC0245
DC000222	DCC0329
DC000223	DCC0087
DC000223	DCC0214
DC000224	DCC0168
DC000224	DCC0422
DC000225	DCC0008
DC000225	DCC0094
DC000226	DCC0093
DC000226	DCC0266
DC000226	DCC0305
DC000227	DCC0008
DC000227	DCC0096
DC000228	DCC0082
DC000228	DCC0245
DC000229	DCC0008
DC000229	DCC0259
DC000230	DCC0088
DC000230	DCC0329
DC000231	DCC0008
DC000231	DCC0067
DC000232	DCC0311
DC000232	DCC0414
DC000233	DCC0008
DC000233	DCC0123
DC000234	DCC0382
DC000234	DCC0445
DC000235	DCC0072
DC000235	DCC0164
DC000236	DCC0008
DC000236	DCC0245
DC000237	DCC0093
DC000237	DCC0266
DC000238	DCC0072
DC000238	DCC0314
DC000239	DCC0215
DC000239	DCC0411
DC000240	DCC0023
DC000240	DCC0339
DC000241	DCC0454
DC000241	DCC0455
DC000242	DCC0120
DC000242	DCC0189
DC000243	DCC0223
DC000243	DCC0386
DC000244	DCC0117
DC000244	DCC0369
DC000245	DCC0075
DC000245	DCC0254
DC000246	DCC0308
DC000246	DCC0456
DC000247	DCC0148
DC000247	DCC0223
DC000248	DCC0001
DC000248	DCC0245
DC000248	DCC0323
DC000249	DCC0117
DC000249	DCC0271
DC000250	DCC0295
DC000250	DCC0329
DC000251	DCC0128
DC000251	DCC0131
DC000251	DCC0162
DC000252	DCC0049
DC000252	DCC0138
DC000253	DCC0048
DC000253	DCC0188
DC000254	DCC0117
DC000254	DCC0123
DC000255	DCC0116
DC000255	DCC0287
DC000256	DCC0138
DC000256	DCC0238
DC000257	DCC0081
DC000257	DCC0214
DC000258	DCC0116
DC000258	DCC0221
DC000259	DCC0256
DC000259	DCC0456
